"COMPANY_ID","COMPANY_NAME"
1,"10"
2,"100"
3,"101"
4,"102"
5,"103"
6,"104"
7,"105"
8,"106"
9,"107"
10,"108"
11,"109"
12,"11"
13,"110"
14,"112"
15,"113"
16,"115"
17,"116"
18,"118"
19,"12"
20,"120"
21,"122"
22,"126"
23,"127"
24,"130"
25,"132"
26,"135"
27,"137"
28,"139"
29,"14"
30,"140"
31,"142"
32,"143"
33,"144"
34,"146"
35,"148"
36,"149"
37,"150"
38,"153"
39,"154"
40,"158"
41,"159"
42,"16"
43,"160"
44,"163"
45,"165"
46,"167"
47,"168"
48,"169"
49,"174"
50,"178"
51,"179"
52,"18"
53,"180"
54,"183"
55,"184"
56,"185"
57,"186"
58,"192"
59,"193"
60,"195"
61,"197"
62,"20"
63,"200"
64,"202"
65,"203"
66,"204"
67,"207"
68,"209"
69,"210"
70,"212"
71,"213"
72,"215"
73,"216"
74,"217"
75,"218"
76,"219"
77,"22"
78,"220"
79,"221"
80,"222"
81,"223"
82,"224"
83,"225"
84,"227"
85,"229"
86,"230"
87,"232"
88,"233"
89,"234"
90,"237"
91,"238"
92,"240"
93,"242"
94,"243"
95,"245"
96,"246"
97,"250"
98,"251"
99,"253"
100,"254"
101,"255"
102,"257"
103,"258"
104,"259"
105,"260"
106,"263"
107,"264"
108,"268"
109,"269"
110,"270"
111,"271"
112,"272"
113,"273"
114,"274"
115,"275"
116,"277"
117,"278"
118,"279"
119,"28"
120,"280"
121,"281"
122,"282"
123,"284"
124,"286"
125,"287"
126,"288"
127,"289"
128,"29"
129,"290"
130,"291"
131,"292"
132,"293"
133,"297"
134,"301"
135,"302"
136,"304"
137,"305"
138,"307"
139,"308"
140,"309"
141,"31"
142,"311"
143,"312"
144,"313"
145,"314"
146,"316"
147,"317"
148,"318"
149,"319"
150,"32"
151,"320"
152,"321"
153,"323"
154,"324"
155,"325"
156,"329"
157,"330"
158,"331"
159,"332"
160,"333"
161,"334"
162,"337"
163,"338"
164,"34"
165,"341"
166,"342"
167,"343"
168,"346"
169,"347"
170,"348"
171,"349"
172,"35"
173,"350"
174,"351"
175,"352"
176,"353"
177,"355"
178,"356"
179,"357"
180,"358"
181,"360"
182,"361"
183,"362"
184,"364"
185,"365"
186,"366"
187,"367"
188,"368"
189,"369"
190,"37"
191,"370"
192,"371"
193,"372"
194,"373"
195,"376"
196,"377"
197,"378"
198,"379"
199,"38"
200,"380"
201,"382"
202,"383"
203,"384"
204,"385"
205,"386"
206,"388"
207,"39"
208,"390"
209,"391"
210,"392"
211,"393"
212,"394"
213,"395"
214,"396"
215,"397"
216,"398"
217,"399"
218,"40"
219,"400"
220,"401"
221,"402"
222,"403"
223,"405"
224,"407"
225,"408"
226,"409"
227,"410"
228,"411"
229,"412"
230,"413"
231,"415"
232,"416"
233,"417"
234,"418"
235,"419"
236,"42"
237,"420"
238,"421"
239,"422"
240,"423"
241,"424"
242,"425"
243,"426"
244,"428"
245,"429"
246,"43"
247,"433"
248,"435"
249,"436"
250,"437"
251,"439"
252,"442"
253,"443"
254,"444"
255,"445"
256,"446"
257,"447"
258,"448"
259,"45"
260,"450"
261,"451"
262,"452"
263,"454"
264,"455"
265,"456"
266,"457"
267,"458"
268,"459"
269,"46"
270,"460"
271,"461"
272,"465"
273,"466"
274,"47"
275,"470"
276,"477"
277,"478"
278,"479"
279,"48"
280,"481"
281,"482"
282,"483"
283,"484"
284,"485"
285,"486"
286,"487"
287,"489"
288,"49"
289,"490"
290,"491"
291,"492"
292,"494"
293,"496"
294,"497"
295,"498"
296,"499"
297,"501"
298,"504"
299,"506"
300,"507"
301,"51"
302,"511"
303,"512"
304,"513"
305,"514"
306,"515"
307,"516"
308,"518"
309,"52"
310,"520"
311,"521"
312,"523"
313,"525"
314,"528"
315,"53"
316,"530"
317,"531"
318,"534"
319,"539"
320,"54"
321,"541"
322,"543"
323,"59"
324,"6"
325,"61"
326,"62"
327,"64"
328,"65"
329,"67"
330,"68"
331,"71"
332,"72"
333,"73"
334,"76"
335,"77"
336,"78"
337,"8"
338,"80"
339,"81"
340,"82"
341,"83"
342,"84"
343,"85"
344,"86"
345,"88"
346,"9"
347,"91"
348,"92"
349,"93"
350,"94"
351,"96"
352,"99"
353,NULL
